walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning,regime_variable,regime_state,observations,mean_daily_return,annualized_return_approx,sharpe,positive_day_rate
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,risk_free_state,above_2pct,1260,-0.0004527050810509905,-0.1140816804248496,-1.4586805215528993,0.4579365079365079
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,risk_free_state,at_or_below_2pct,2510,-0.00024523357656346985,-0.0617988612939944,-0.8715116975991708,0.45737051792828687
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,volatility_state,high_volatility,1301,-0.0003410556009868882,-0.08594601144869582,-0.8851157782972957,0.46272098385857036
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,volatility_state,low_volatility,2469,-0.0003006202277904479,-0.07575629740319287,-1.324969884070697,0.45484001620089104
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,dispersion_state,high_dispersion,1978,-0.0003620336380843061,-0.09123247679724514,-1.0231824766161557,0.4625884732052578
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,dispersion_state,low_dispersion,1792,-0.00026218869596417405,-0.06607155138297185,-1.3029674547174788,0.45200892857142855
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,correlation_state,high_correlation,1145,-0.0003138661107380717,-0.07909425990599407,-0.8079156340890036,0.462882096069869
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.23333333333333334,-0.06952144033975782,-0.32371003840996326,0.11868022899222419,-1.3560907977471954,-0.07870147496338642,-1.0794774414326604,0.3,8,True,correlation_state,low_correlation,2625,-0.00031488304095370106,-0.07935052632033267,-1.3285023027685257,0.4552380952380952
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.16666666666666666,-0.061705006955409425,-0.284656625492156,0.09946732641726541,-1.101311200350899,-0.07252308945505448,-1.0035883291214893,0.36666666666666664,10,True,risk_free_state,above_2pct,1260,-0.0003819739760292066,-0.09625744195936006,-1.2336133127492845,0.4595238095238095
short|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.16666666666666666,-0.061705006955409425,-0.284656625492156,0.09946732641726541,-1.101311200350899,-0.07252308945505448,-1.0035883291214893,0.36666666666666664,10,True,risk_free_state,at_or_below_2pct,2510,-0.00024134846024903323,-0.06081981198275637,-0.8762045836891362,0.4721115537848606
