path_key,factor_key,method,beta_neutral,rebalance_days,average_estimated_beta,maximum_absolute_estimated_beta,regression_beta,average_gross_exposure,average_net_exposure,annualized_turnover,unpriced_weight_days,maximum_unpriced_weight,average_maximum_sector_exposure,maximum_sector_exposure,average_unknown_sector_weight,average_holding_count,minimum_holding_count,maximum_position_weight
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,False,1,-0.04655593776892617,0.41224781179171355,-0.12571026737418398,2.0,-1.2555066343711595e-18,55.64355354394387,0,0.0,,,,418.3075819182014,335.0,0.011940191473340744
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,False,5,-0.047211867095543134,0.39429446263931406,-0.11476458620313519,2.0017695675668388,-0.00022939929776296918,38.882410638711136,6,0.01316925749304291,,,,418.00374710994174,111.66666666666667,0.016196720010999376
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,False,21,-0.04892054661528083,0.41948541440749043,-0.08576879822601062,2.0052906472826693,-0.00023963674030987817,24.490523367699208,8,0.014830269482343943,,,,416.8053097345133,111.66666666666667,0.01916063341645764
liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,False,63,-0.059601174478066545,0.4057200047922685,-0.06730926780168714,2.021705941278415,-0.0004098802377308586,9.02602460880018,4,0.008163278168518565,,,,413.81974009407634,111.66666666666667,0.022649260263683677
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,True,1,-5.707036931849074e-19,6.036837696399289e-16,-0.04018355276192574,2.0,0.04590437139907518,55.72385502552808,0,0.0,,,,418.3075819182014,335.0,0.01427225786266247
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,True,5,-0.0004001638355147641,0.11184564316078083,-0.0331186213565796,2.0014187650739834,0.04584867068198484,38.99764031000627,6,0.012965910076114659,,,,418.00374710994174,111.66666666666667,0.015668413403449023
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r21|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,True,21,-0.0005127725621433519,0.11119108774750214,-0.01873571707251905,2.0036395192831913,0.0471265269750978,24.514636450834665,8,0.014997760791999359,,,,416.8053097345133,111.66666666666667,0.016877364346259506
liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r63|ensemble,liquidity_change|liq_20d_252d,continuous_high_minus_low,True,63,0.0009898393288596493,0.1142095781986034,0.007886686998342312,2.016374959583634,0.05828693471374857,9.02154306163569,4,0.008096258831557675,,,,413.81974009407634,111.66666666666667,0.02288286725835185
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,long_q1,False,1,1.081880579885943,1.5872386726178855,1.1607239283013455,1.0,1.0,43.75513634945728,0,0.0,,,,41.477636928964365,33.0,0.030303030303030304
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,long_q1,False,5,1.081047517961286,1.5236778281122891,1.1464314956871622,0.9993085239922762,0.9993085239922762,28.463634987315974,4,0.0256846205283221,,,,41.445507454357006,11.0,0.044400838621531304
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,long_q1,False,21,1.0792789147660384,1.3972115423188702,1.1207812848590977,0.996233647743893,0.996233647743893,15.786536868563669,8,0.0239241227475009,,,,41.298174280475166,11.0,0.043552933518048904
liquidity_change|liq_20d_252d|long_q1|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,long_q1,False,63,1.0730172149612172,1.344142426650154,1.0848730583222381,0.9882600688492358,0.9882600688492358,5.810168267942128,4,0.0084108276724704,,,,40.90887347524516,11.0,0.045930871323451805
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,long_q10,False,1,1.010349729440334,1.3963317311072867,0.9696482323884057,1.0,1.0,39.68683837727957,0,0.0,,,,42.350633819660366,34.0,0.029411764705882353
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,long_q10,False,5,1.0094364728417897,1.39994051256774,0.9722340031327418,0.9992011298457248,0.9992011298457248,27.980845840457732,0,0.0,,,,42.31348162321614,11.333333333333334,0.03424828109373765
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,long_q10,False,21,1.005947687411687,1.4058799804846787,0.9813601026153168,0.9964774494878035,0.9964774494878035,17.39979898885719,0,0.0,,,,42.1815355178187,11.333333333333334,0.03787434774595504
liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,long_q10,False,63,0.9910621472894945,1.333246144294953,0.9754647080699014,0.9909091143909821,0.9909091143909821,6.365815547733241,0,0.0,,,,41.894124212708284,11.333333333333334,0.042499106115075465
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,False,1,-0.10586088664884255,0.6677953862066461,-0.18402381497044162,2.0,1.3722820283710813e-17,89.34244774060691,0,0.0,,,,208.9705812006697,167.0,0.030303030303030304
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,False,5,-0.1061725517022373,0.6464596503448404,-0.1715654545606403,2.0021605633034167,-0.00018671519230607087,58.2188379399541,6,0.026182130714842388,,,,208.8233277525313,55.666666666666664,0.047295369767219396
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,False,21,-0.10658061255572084,0.5962685932287753,-0.14299461003597483,2.003855380601717,0.0012310433866998358,29.56450059535526,8,0.030367490422821792,,,,208.24164872837437,55.666666666666664,0.04876698873977938
liquidity_change|liq_20d_252d|middle_minus_q1|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,False,63,-0.10837830409826914,0.622495343618599,-0.12501323674740317,2.0183827034794617,0.002716592100499158,10.731120802835077,4,0.02165749039383071,,,,206.70963884238222,55.666666666666664,0.06560575405729241
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,True,1,-2.135963854232445e-18,6.38378239159465e-16,-0.037816396456061274,2.0,0.09782652895843343,91.02595791451088,0,0.0,,,,208.9705812006697,167.0,0.032794703864537
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,True,5,-0.0004469733387748165,0.10235649034297263,-0.03229413481542945,2.0015921728685613,0.09738510404619763,58.76027065524296,6,0.024872484835498285,,,,208.8233277525313,55.666666666666664,0.04565119276822458
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r21|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,True,21,0.0006439263079478597,0.1266052077758241,-0.01516108415941117,2.0015179062189996,0.0998327970836332,29.561859225856967,8,0.030299191826098176,,,,208.24164872837437,55.666666666666664,0.04331830449865618
liquidity_change|liq_20d_252d|middle_minus_q1|beta_neutral|r63|ensemble,liquidity_change|liq_20d_252d,middle_minus_q1,True,63,0.002654549205487167,0.1808934991187321,0.008166159478547092,2.0118300708347054,0.10362465743758584,10.661790450436957,4,0.02179548162631754,,,,206.70963884238222,55.666666666666664,0.052006389551825925
liquidity_change|liq_20d_252d|q10_minus_middle|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,q10_minus_middle,False,1,0.03433003620323388,0.49842889260485723,-0.006829749441596179,2.0,-6.285831298983168e-18,84.62909031991438,0,0.0,,,,209.8435780913657,168.0,0.029411764705882353
liquidity_change|liq_20d_252d|q10_minus_middle|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,q10_minus_middle,False,5,0.033917404370467405,0.48238166465183924,-0.0014518791498484885,2.0010307875291016,-0.00013095758243122072,57.42075449000922,2,0.005883169237717724,,,,209.6913019213904,56.0,0.03453305588057335
liquidity_change|liq_20d_252d|q10_minus_middle|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,q10_minus_middle,False,21,0.03187293372902141,0.49441462520641305,0.013101259594111105,2.0049913915090065,-0.0007750568930594832,31.09290260991614,4,0.00582442794071042,,,,209.12500996571794,56.0,0.03876568195963528
