walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,long,12,0.0,-0.06896537559438598,-0.14943983464819244,-0.0013467306141602409,-0.9843299291415853,-0.06904720143816112,-1.037036002014989,0.25,5,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r21|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,21,ensemble,3,199.33333333333334,0.0,199.33333333333334,1.0,long,12,0.16666666666666666,-0.045118151135436824,-0.10950490754427078,0.003572760903967964,-0.7158791904369846,-0.05029421535796075,-0.7802199812041026,0.5,5,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,long,12,0.08333333333333333,-0.05788336032261365,-0.12387400543587246,0.015292101758578092,-0.7884557133751818,-0.056202734657953,-0.8401751837695464,0.25,5,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r63|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|beta_neutral|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,True,63,ensemble,3,66.33333333333333,0.0,66.33333333333333,1.0,long,12,0.5,-0.001797510680045522,-0.04491165509181472,0.047541956334137936,-0.05034081415000842,-0.00389709957210993,-0.03989039336942122,0.75,3,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,long,12,0.16666666666666666,-0.054494645357145155,-0.1470625948080404,0.01889343143955191,-0.7970703604903613,-0.06289052234858883,-0.8393849463403036,0.16666666666666666,4,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,long,12,0.3333333333333333,-0.021607732820340675,-0.10365971260961304,0.04904722171608844,-0.3753635557521974,-0.029231385530905207,-0.3905712830987826,0.25,2,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,long,12,0.25,-0.023170638065031834,-0.12207329356733654,0.03101737500444357,-0.3019082649691591,-0.039939702583396075,-0.5210858526468363,0.08333333333333333,2,True
long|liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,long,12,0.25,-0.012093594292168108,-0.077113440624205,0.039364714949591484,-0.19683008233852073,-0.016409862430375677,-0.2318286819559563,0.4166666666666667,4,True
long|liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r1|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,long_q10,long_only,False,1,ensemble,1,4181.0,0.0,0.0,,long,12,0.75,0.0885422169762955,-0.16047997929495317,0.2720371775874315,0.40603054639830527,0.06656645597876887,0.33714639441839883,1.0,0,True
long|liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d|long_q10|unconstrained_beta|r21|ensemble,liquidity_change|liq_20d_252d,liquidity_change,liq_20d_252d,252,upper_tail_exploratory_lead,upper_tail,long_q10,long_only,False,21,ensemble,3,199.33333333333334,0.0,0.0,,long,12,0.8333333333333334,0.11948636755488129,-0.12208351261144346,0.3003075082837561,0.5867247119339618,0.10128149483002935,0.5080189836058097,1.0,0,True
