factor_left,factor_right,observations,median_common_assets,mean_daily_rank_correlation,median_daily_rank_correlation,mean_absolute_daily_rank_correlation,high_absolute_overlap_rate
low_volatility|20d,low_volatility|40d,4181,429.0,0.8683722807890746,0.8751259377680077,0.8683722807890746,0.8686917005501076
low_volatility|20d,low_volatility|60d,4181,429.0,0.8187587131879602,0.8240216013910947,0.8187587131879602,0.636689787132265
low_volatility|20d,low_volatility|90d,4181,429.0,0.7939330605225778,0.7969213460432235,0.7939330605225778,0.4838555369528821
low_volatility|20d,low_volatility|120d,4181,429.0,0.769128970672885,0.7733174195480728,0.769128970672885,0.34489356613250416
low_volatility|20d,low_volatility|180d,4181,429.0,0.747448061577045,0.7494792805323078,0.747448061577045,0.24204735709160488
low_volatility|20d,low_volatility|252d,4181,429.0,0.729092541307644,0.731771836184548,0.729092541307644,0.17364266921789046
low_volatility|40d,low_volatility|60d,4181,429.0,0.9342865254868719,0.9408251091762541,0.9342865254868719,0.9985649366180339
low_volatility|40d,low_volatility|90d,4181,429.0,0.8959046027314084,0.899306521782341,0.8959046027314084,0.9796699354221479
low_volatility|40d,low_volatility|120d,4181,429.0,0.8692749038290012,0.873430694819801,0.8692749038290012,0.9215498684525233
low_volatility|40d,low_volatility|180d,4181,429.0,0.8403315114669305,0.8420305308863112,0.8403315114669305,0.7971777086821334
low_volatility|40d,low_volatility|252d,4181,429.0,0.8167185418010529,0.8165203073801605,0.8167185418010529,0.6259268117675197
low_volatility|60d,low_volatility|90d,4181,429.0,0.9521855241394771,0.9547487394442835,0.9521855241394771,1.0
low_volatility|60d,low_volatility|120d,4181,429.0,0.926381748382464,0.9291987133034699,0.926381748382464,0.9990432910786893
low_volatility|60d,low_volatility|180d,4181,429.0,0.8930929919582863,0.8941296900434933,0.8930929919582863,0.9777565175795264
low_volatility|60d,low_volatility|252d,4181,429.0,0.8674274617460108,0.8669103276956719,0.8674274617460108,0.9526429083951208
low_volatility|90d,low_volatility|120d,4181,429.0,0.9706355104207216,0.9728983828001787,0.9706355104207216,1.0
low_volatility|90d,low_volatility|180d,4181,429.0,0.9362775912733915,0.9379500033645107,0.9362775912733915,0.9971298732360679
low_volatility|90d,low_volatility|252d,4181,429.0,0.9090423527772754,0.9095056300532358,0.9090423527772754,1.0
low_volatility|120d,low_volatility|180d,4181,429.0,0.9665563998079556,0.9682658901849185,0.9665563998079556,1.0
low_volatility|120d,low_volatility|252d,4181,429.0,0.9387874680155361,0.9395194826368055,0.9387874680155361,1.0
low_volatility|180d,low_volatility|252d,4181,429.0,0.975444821169522,0.9774744321669905,0.975444821169522,1.0
