path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,transaction_cost_bps,sharpe_basis,observations,annualized_return,annualized_volatility,sharpe,maximum_drawdown,positive_month_rate,positive_year_rate,annualized_alpha,alpha_hac_tstat,alpha_raw_p_value,regression_beta,average_estimated_beta,maximum_absolute_estimated_beta,average_gross_exposure,average_net_exposure,annualized_turnover,annualized_cost_drag,unpriced_weight_days,maximum_unpriced_weight,average_maximum_sector_exposure,maximum_sector_exposure,average_unknown_sector_weight,average_holding_count,minimum_holding_count,maximum_position_weight
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,0,self_financing_spread_return,4181,-0.06332541569234673,0.1735469612782828,-0.28983384101902704,-0.7241548009372203,0.455,0.4117647058823529,0.04456451529119241,1.4456629821163074,0.14827175195767364,-0.6382981264665776,-0.6121906048192792,1.051342269848257,2.0,-1.277081764902323e-18,18.767922625405593,0.0,0,0.0,,,,419.2013872279359,335.0,0.011940191473340744
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,5,self_financing_spread_return,4181,-0.07207425955440627,0.1735493539694217,-0.34387869474573846,-0.7405769027734146,0.455,0.4117647058823529,0.03517935451376089,1.140335884781814,0.2541463930827166,-0.6382643637013076,-0.6121906048192792,1.051342269848257,2.0,-1.277081764902323e-18,18.767922625405593,0.009383961312702796,0,0.0,,,,419.2013872279359,335.0,0.011940191473340744
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,10,self_financing_spread_return,4181,-0.08074185862504457,0.17355267994532977,-0.3979199184433901,-0.7735304880764328,0.445,0.4117647058823529,0.02579419373632872,0.8354561464391376,0.40346092841134384,-0.6382306009360363,-0.6121906048192792,1.051342269848257,2.0,-1.277081764902323e-18,18.767922625405593,0.01876792262540559,0,0.0,,,,419.2013872279359,335.0,0.011940191473340744
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,25,self_financing_spread_return,4181,-0.10626465477894576,0.17356825696987638,-0.5600130965414071,-0.8506409137641812,0.43,0.23529411764705882,-0.002361288595966067,-0.07628865384192623,0.9391894524605408,-0.638129312640225,-0.6121906048192792,1.051342269848257,2.0,-1.277081764902323e-18,18.767922625405593,0.04691980656351398,0,0.0,,,,419.2013872279359,335.0,0.011940191473340744
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,0,self_financing_spread_return,4181,-0.06517276901915525,0.17252089806479942,-0.30396379686412617,-0.7284579238703839,0.45,0.4117647058823529,0.04037788218449938,1.2825640015371063,0.19964486884413624,-0.6245294614222157,-0.6145484834045938,1.1311832176788215,2.003277094396503,-0.0004637429137353275,10.100647793551136,0.0,21,0.012808093820829869,,,,418.89428366419514,111.66666666666667,0.016796339248085716
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,5,self_financing_spread_return,4181,-0.06988214922476044,0.17252828886446814,-0.3332052975135088,-0.7426675848112974,0.45,0.4117647058823529,0.035338657114690725,1.122125890060908,0.2618089172484307,-0.6245833404444271,-0.6145484834045938,1.1311832176788215,2.003277094396503,-0.0004637429137353275,10.100647793551136,0.005050323896775568,21,0.012808093820829869,,,,418.89428366419514,111.66666666666667,0.016796339248085716
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,10,self_financing_spread_return,4181,-0.07456800718291912,0.17253635684653842,-0.36244287041831846,-0.7610655690822338,0.45,0.4117647058823529,0.03029943204488155,0.9617860596144017,0.33615708201885397,-0.6246372194666392,-0.6145484834045938,1.1311832176788215,2.003277094396503,-0.0004637429137353275,10.100647793551136,0.010100647793551135,21,0.012808093820829869,,,,418.89428366419514,111.66666666666667,0.016796339248085716
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,25,self_financing_spread_return,4181,-0.08848560964740237,0.1725646228974801,-0.4501285891738973,-0.8087402335850656,0.445,0.35294117647058826,0.015181756835455187,0.48139542259911,0.630235489331459,-0.6247988565332749,-0.6145484834045938,1.1311832176788215,2.003277094396503,-0.0004637429137353275,10.100647793551136,0.02525161948387784,21,0.012808093820829869,,,,418.89428366419514,111.66666666666667,0.016796339248085716
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,0,self_financing_spread_return,4181,-0.06137972864786312,0.16885045615766062,-0.290391580768816,-0.7054581670634184,0.46,0.4117647058823529,0.03688104117212784,1.1352962046598702,0.25625123190567056,-0.5780743003041334,-0.620755951669212,1.1985394349522234,2.0111045021083758,-0.0009967886361193995,5.727778781728715,0.0,27,0.019909548658858727,,,,417.6853224906322,111.66666666666667,0.02062363568271861
low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,5,self_financing_spread_return,4181,-0.06406410984673894,0.16885633871895842,-0.3073309455280551,-0.717570152830032,0.46,0.4117647058823529,0.03403102663416067,1.047298464164954,0.2949619442216802,-0.5781551290439413,-0.620755951669212,1.1985394349522234,2.0111045021083758,-0.0009967886361193995,5.727778781728715,0.002863889390864358,27,0.019909548658858727,,,,417.6853224906322,111.66666666666667,0.02062363568271861
