walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning,regime_variable,regime_state,observations,mean_daily_return,annualized_return_approx,sharpe,positive_day_rate
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,risk_free_state,above_2pct,1260,6.325519742049493e-05,0.015940309749964722,0.0947117200068659,0.49682539682539684
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,risk_free_state,at_or_below_2pct,2510,-9.22035320403126e-05,-0.023235290074158775,-0.12972771089445864,0.5031872509960159
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,volatility_state,high_volatility,1301,-0.00021323945267369865,-0.05373634207377206,-0.2247209318434257,0.4727132974634896
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,volatility_state,low_volatility,2469,5.090936057396554e-05,0.012829158864639315,0.09857174031551064,0.5159983799108951
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,dispersion_state,high_dispersion,1978,9.374866032426617e-05,0.023624662401715076,0.11067292298533139,0.5005055611729019
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,dispersion_state,low_dispersion,1792,-0.00018814964664774526,-0.0474137109552318,-0.3931309857892614,0.5016741071428571
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,correlation_state,high_correlation,1145,-0.0003219594998690256,-0.08113379396699445,-0.33393722973721285,0.47860262008733623
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,30,0.43333333333333335,-0.024659851977982872,-0.3059936036112517,0.400849862648609,-0.004852246875980813,-0.025231677884804404,-0.05777255740309369,0.4,8,True,correlation_state,low_correlation,2625,8.263402311568506e-05,0.020823773825152634,0.15302336956681972,0.5108571428571429
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,risk_free_state,above_2pct,1260,9.178099567700596e-05,0.023128810910605504,0.1374545948150891,0.49682539682539684
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.021585363193607265,-0.3016032017250111,0.39377549320201677,-0.07000475081296736,-0.023172933995627143,-0.046800154146469125,0.4,8,True,risk_free_state,at_or_below_2pct,2510,-9.479612969840912e-05,-0.023888624683999098,-0.13433956348210635,0.5075697211155379
