walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,period_id,train_start,train_end,oos_start,oos_end,calendar_complete,expected_oos_observations,orientation_selected_in_training,complete_oos_period,train_observations,train_annualized_return,train_sharpe,train_mean_daily_return,oos_observations,oos_annualized_return,oos_sharpe,oos_mean_daily_return
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.06353097317088063,0.49927620797286754,0.00028555560339280827,127,-0.2698519014408234,-1.0696859354654045,-0.0011120886256916099
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.0485196028204693,0.4049310067060064,0.0002278295840766508,127,-0.2776394050972505,-1.1420879201671033,-0.0011605639725370586
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.057604276753182804,0.47222141140164503,0.00026055855935036977,127,-0.2897845486475089,-1.267150033581943,-0.0012376631205724999
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.04846544792331975,0.4078250573961801,0.00022666072091450062,127,-0.2805230008936086,-1.2352481305966727,-0.001189625389258948
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.051423253688085646,0.6779337461972659,0.00021120993787434892,127,0.25503619987658266,2.229649384745038,0.000923292520937277
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r5|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.06572436549555793,0.8584355512587101,0.0002645695386666858,127,0.2757632808734609,2.346530505435707,0.00098912838877418
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r21|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,21,ensemble,3,199.33333333333334,0.0,199.33333333333334,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.07036372743409047,0.9184341958796071,0.00028169586757158976,127,0.2810468959899417,2.353786532450066,0.0010061837419237806
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r63|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,63,ensemble,3,66.33333333333333,0.0,66.33333333333333,1.0,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.06540230228449295,0.8738033571819517,0.0002628016468128698,127,0.2791265244747363,2.36878462260934,0.0009996404852672164
short|low_volatility|120d|long_q1|unconstrained_beta|r1|ensemble,low_volatility|120d|long_q1|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,1,ensemble,1,4181.0,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.24282230270133653,0.8989300712181276,0.0010250188629126792,127,-0.2591414489837812,-0.3013369923669333,-0.0006335481169136703
short|low_volatility|120d|long_q1|unconstrained_beta|r5|ensemble,low_volatility|120d|long_q1|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.22379217286949848,0.8492298218138755,0.0009613269744751371,127,-0.2629212364154552,-0.3223674149400736,-0.0006685303806753998
short|low_volatility|120d|long_q1|unconstrained_beta|r21|ensemble,low_volatility|120d|long_q1|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.2260946833928663,0.8656451056531852,0.0009634399118410826,127,-0.2804164429688514,-0.37842537256139924,-0.0007759414654659427
short|low_volatility|120d|long_q1|unconstrained_beta|r63|ensemble,low_volatility|120d|long_q1|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q1,long_only,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.19588827588905677,0.7955566183405763,0.0008529667599313991,127,-0.3025131431022332,-0.4597789011080928,-0.0009224160561002407
short|low_volatility|120d|long_q10|unconstrained_beta|r1|ensemble,low_volatility|120d|long_q10|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,1,ensemble,1,4181.0,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.1275907551827946,1.1816554908429295,0.0004985952945839215,127,0.14988029309578654,0.866038899326021,0.0006179837781577381
short|low_volatility|120d|long_q10|unconstrained_beta|r5|ensemble,low_volatility|120d|long_q10|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,5,ensemble,3,836.3333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.13115854965382656,1.2148450126185566,0.0005110133752011152,127,0.16083066001731838,0.918324465279925,0.0006556564109480329
short|low_volatility|120d|long_q10|unconstrained_beta|r21|ensemble,low_volatility|120d|long_q10|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.13841199255745718,1.2945868084174768,0.0005357032970877088,127,0.17303012174092514,0.9782391474609925,0.0006968928010331551
short|low_volatility|120d|long_q10|unconstrained_beta|r63|ensemble,low_volatility|120d|long_q10|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,1,True,377,0.14139128185380567,1.3946630294003008,0.0005437065833883525,127,0.17055504962689083,0.9535821556518114,0.0006906352143138014
short|low_volatility|120d|middle_minus_q1|unconstrained_beta|r1|ensemble,low_volatility|120d|middle_minus_q1|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,middle_minus_q1,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,short,2011-07_2011-12,2010-01-01,2011-06-30,2011-07-01,2011-12-31,True,127,-1,True,377,0.01619550417902227,0.18798545660575638,9.776225879252357e-05,127,-0.08105280439535223,-0.2692677424761292,-0.00023785240303930875
