walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning
long|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,long,12,0.5833333333333334,0.02221915959123788,-0.13078411123814748,0.11022300715913635,0.2808018216403301,0.00012719659173776598,0.067730789197608,0.9166666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|beta_neutral|r21|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,21,ensemble,3,199.33333333333334,0.0,199.33333333333334,1.0,long,12,0.5833333333333334,0.040480424934074444,-0.13545593059512762,0.1342153639630157,0.3627493086369291,0.004695566297418852,0.10185467985286638,0.9166666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|beta_neutral|r5|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,5,ensemble,3,836.3333333333334,0.0,836.3333333333334,1.0,long,12,0.5833333333333334,0.029897515967235777,-0.12854443943485727,0.11735605091926304,0.34200899150034514,0.0034669457721347996,0.09274872199597163,0.9166666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|beta_neutral|r63|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,63,ensemble,3,66.33333333333333,0.0,66.33333333333333,1.0,long,12,0.5833333333333334,0.04300926799330018,-0.1298011263852411,0.13326615782601148,0.3765393560135184,0.002830884181801885,0.0893285404725571,0.9166666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,1,ensemble,1,4181.0,0.0,0.0,,long,12,0.5,0.008207369660981845,-0.13559998445264698,0.20924822345553484,-0.00558546309203195,0.007759451880212875,0.13207736778924234,0.16666666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,long,12,0.5,0.026998872462530354,-0.14026634530349646,0.24701649422194683,0.11728204752396754,0.02335738902657014,0.21965266390883303,0.16666666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r5|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,5,ensemble,3,836.3333333333334,0.0,0.0,,long,12,0.5,0.013640765882324324,-0.12896689570653863,0.22983522576935256,0.10676265834546755,0.021393537978888766,0.20762542247980434,0.16666666666666666,2,True
long|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,long,12,0.5,0.030508340843383608,-0.1385696634682443,0.22548843760711512,0.2093391219234319,0.021807875868017135,0.2112191866356077,0.16666666666666666,2,True
long|low_volatility|120d|long_q10|unconstrained_beta|r1|ensemble,low_volatility|120d|long_q10|unconstrained_beta|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,1,ensemble,1,4181.0,0.0,0.0,,long,12,0.9166666666666666,0.1329598424841466,-0.033896348529882436,0.23317214069514391,0.7999436138504493,0.09362625477812836,0.5874649911983345,1.0,0,True
long|low_volatility|120d|long_q10|unconstrained_beta|r21|ensemble,low_volatility|120d|long_q10|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,long_q10,long_only,False,21,ensemble,3,199.33333333333334,0.0,0.0,,long,12,0.9166666666666666,0.11005109988264816,-0.04114027606119397,0.23910025274975233,0.8096355454268117,0.09719844223335894,0.5976556553210056,1.0,0,True
